Accesion,Organism,Source
CP005970.1,Pseudomonas syringae UMAF0158,Pseudomonas syringae UMAF0158
CP084413.1,Pseudomonas sp. HS-18,Pseudomonas sp. HS-18
HQ349045.1,Pinus pumila,Pinus pumila
XM_031397788.1,Pistacia vera,Pistacia vera
CP015637.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP104292.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LC183527.1,Dioon edule,Dioon edule
CP002216.1,Caldicellulosiruptor owensensis OL,Caldicellulosiruptor owensensis OL
ON012797.1,Actinidia chinensis,mitochondrion Actinidia chinensis
MN066699.1,Pediomelum tenuiflorum,mitochondrion Pediomelum tenuiflorum
CP039912.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP038386.1,Escherichia coli O55:H7,Escherichia coli O55:H7
EF380019.1,Escherichia phage phiX174,Escherichia phage phiX174
CP082341.1,Pantoea dispersa,Pantoea dispersa
XM_038926866.1,Alternaria burnsii,Alternaria burnsii
CP099609.1,Pseudomonas moraviensis,Pseudomonas moraviensis
BK056558.1,Bacteriophage sp.,Bacteriophage sp. (Human Metagenome)
CP056088.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN591802.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_063715.1,Fusarium acaciae-mearnsii,mitochondrion Fusarium acaciae-mearnsii
CP045725.1,Raineyella fluvialis,Raineyella fluvialis
CP003150.1,Pseudomonas ogarae,Pseudomonas ogarae
CP080382.1,Arthrobacter sp. PAMC25284,Arthrobacter sp. PAMC25284
MG841928.1,Pinus nigra,Pinus nigra
CP087180.1,Pseudomonas sp. B21-032,Pseudomonas sp. B21-032
LR991059.1,Notocelia uddmanniana,Notocelia uddmanniana
CP058908.1,Pseudomonas phenolilytica,Pseudomonas phenolilytica
LN590851.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394034.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP087979.1,Klebsiella variicola subsp. variicola,Klebsiella variicola subsp. variicola
LC597760.1,synthetic construct,synthetic construct
GQ153915.1,Escherichia phage phiX174,Escherichia phage phiX174
AE007870.2,Agrobacterium fabrum str. C58,Agrobacterium fabrum str. C58
CP032286.1,Acinetobacter sp. WCHA55,Acinetobacter sp. WCHA55
LT629738.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP033877.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MN935419.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MG372115.1,Chionanthus rupicola,mitochondrion Chionanthus rupicola
XM_035058880.1,Populus alba,Populus alba (white poplar)
CP001630.1,Actinosynnema mirum DSM 43827,Actinosynnema mirum DSM 43827
CP038213.1,Ornithinimicrobium flavum,Ornithinimicrobium flavum
XM_028056447.1,Vigna unguiculata,Vigna unguiculata (cowpea)
CP058247.1,Pseudomonas sp. LPB0260,Pseudomonas sp. LPB0260
LN590831.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP048548.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
AP024341.1,Pseudomonas sp. Boi14,Pseudomonas sp. Boi14
LC597697.1,synthetic construct,synthetic construct
MN935384.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
NC_064986.1,Cotinus coggygria,mitochondrion Cotinus coggygria
XM_046170455.1,Alternaria rosae,Alternaria rosae
XM_039173678.1,Hibiscus syriacus,Hibiscus syriacus
CP078079.1,Pseudarthrobacter sp. L1SW,Pseudarthrobacter sp. L1SW
CP109812.1,Stenotrophomonas sp. SBJS02,Stenotrophomonas sp. SBJS02
MN935387.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
KY537968.1,Elaeocarpus glabripetalus,Elaeocarpus glabripetalus
CP062235.1,Arthrobacter sp. TES,Arthrobacter sp. TES
CP032456.1,Pseudomonas savastanoi,Pseudomonas savastanoi
MG842006.1,Pinus nigra,Pinus nigra
CP092497.1,Amycolatopsis sp. EV170708-02-1,Amycolatopsis sp. EV170708-02-1
NC_063515.1,Stylosanthes capitata,mitochondrion Stylosanthes capitata
BK054360.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
CP099575.1,Pseudomonas kermanshahensis,Pseudomonas kermanshahensis
LN590680.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002393994.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP019856.1,Pseudomonas azotoformans,Pseudomonas azotoformans
LN591327.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_028646001.1,Alternaria arborescens,Alternaria arborescens
CP077746.1,Pantoea jilinensis,Pantoea jilinensis
CP047265.1,Pseudomonas asturiensis,Pseudomonas asturiensis
LN595112.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594374.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590713.1,Cyprinus carpio,Cyprinus carpio (common carp)
LS992247.1,Human gammaherpesvirus 4,Human gammaherpesvirus 4 (Epstein-Barr virus)
LN590859.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP099397.1,Pseudomonas hydrolytica,Pseudomonas hydrolytica
LN590769.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN066700.1,Ladeania lanceolata,mitochondrion Ladeania lanceolata
LC597791.1,synthetic construct,synthetic construct
XR_002394002.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OW386561.1,Glyphotaelius pellucidus,Glyphotaelius pellucidus
CP054931.1,Stenotrophomonas sp. NA06056,Stenotrophomonas sp. NA06056
XR_004003924.1,Syzygium oleosum,Syzygium oleosum
CP032702.1,Pantoea dispersa,Pantoea dispersa
MW583059.1,Vitis davidii,Vitis davidii
AP024329.1,Erwinia rhapontici,Erwinia rhapontici
MW583077.1,Vitis californica,Vitis californica
CP065720.1,Stutzerimonas frequens,Stutzerimonas frequens
LC597665.1,synthetic construct,synthetic construct
CP020892.1,Pseudomonas sp. M30-35,Pseudomonas sp. M30-35
CP023324.1,Cordyceps militaris,Cordyceps militaris
LC597718.1,synthetic construct,synthetic construct
LN590710.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN935382.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LN592971.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596222.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380009.1,Escherichia phage phiX174,Escherichia phage phiX174
CP094343.1,Pseudomonas sp. M1,Pseudomonas sp. M1
CP110644.1,Pseudomonas sp. KU26590,Pseudomonas sp. KU26590
CP027720.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
CP113864.1,Caldicellulosiruptor naganoensis,Caldicellulosiruptor naganoensis
LN590718.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008226126.1,Lactuca sativa,Lactuca sativa
MW583085.1,Vitis rotundifolia var. munsoniana,Vitis rotundifolia var. munsoniana
CP053746.1,Pseudomonas graminis,Pseudomonas graminis
NC_063721.1,Fusarium cortaderiae,mitochondrion Fusarium cortaderiae
XM_023600550.1,Cercospora beticola,Cercospora beticola
XR_008229551.1,Lactuca sativa,Lactuca sativa
EF691797.1,Trifolium repens,Trifolium repens (white clover)
CP111114.1,Pseudomonas koreensis,Pseudomonas koreensis
CP027713.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
GU385905.1,Escherichia phage phiX174,Escherichia phage phiX174
HQ349031.1,Pinus monophylla,Pinus monophylla
XR_008229562.1,Lactuca sativa,Lactuca sativa
CP113432.1,Pseudomonas sp. ZM23,Pseudomonas sp. ZM23
XR_008229511.1,Lactuca sativa,Lactuca sativa
LR721777.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
CP027712.1,Pseudomonas chlororaphis subsp. chlororaphis,Pseudomonas chlororaphis subsp. chlororaphis
XR_002394041.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN597611.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP103401.1,Pantoea agglomerans,Pantoea agglomerans
L37581.1,Adriana glabrata,Adriana glabrata
CP050951.1,Pseudomonas putida,Pseudomonas putida
CP045349.1,Pseudomonas sp. THAF187a,Pseudomonas sp. THAF187a
HM753705.1,Escherichia phage phiX174,Escherichia phage phiX174
LM997153.1,Escherichia coli,Escherichia coli
CP094103.1,Helicobacter pylori,Helicobacter pylori
XM_028656569.1,Alternaria arborescens,Alternaria arborescens
XR_005550719.1,Eucalyptus grandis,Eucalyptus grandis
XR_008229547.1,Lactuca sativa,Lactuca sativa
HM753659.1,Escherichia phage phiX174,Escherichia phage phiX174
MG372799.1,Pinus gerardiana,Pinus gerardiana
LN592912.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN935392.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP077718.1,Pseudomonas viridiflava,Pseudomonas viridiflava
LT629777.1,Pseudomonas asplenii,Pseudomonas asplenii
CP052520.1,Klebsiella pneumoniae,Klebsiella pneumoniae
MW583054.1,Vitis wilsoniae,Vitis wilsoniae
CP031167.1,Stenotrophomonas sp. ASS1,Stenotrophomonas sp. ASS1
MW182655.1,Fusarium boothii,mitochondrion Fusarium boothii
XM_043172855.1,Diaporthe citri,Diaporthe citri (Phomopsis citri)
OV195277.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
NC_063720.1,Fusarium brasilicum,mitochondrion Fusarium brasilicum
CP051486.1,Streptomyces pratensis,Streptomyces pratensis
CP005976.1,Pseudomonas putida H8234,Pseudomonas putida H8234
CP001846.1,Escherichia coli O55:H7 str. CB9615,Escherichia coli O55:H7 str. CB9615
OP723660.1,Lagerstroemia indica,Lagerstroemia indica
XM_022006787.1,Spinacia oleracea,Spinacia oleracea (spinach)
MZ747312.1,Stylosanthes capitata,mitochondrion Stylosanthes capitata
HQ349055.1,Pinus strobiformis,Pinus strobiformis
MK178599.1,Cloning vector pSAS31_redac,Cloning vector pSAS31_redac
CP032419.1,Pseudomonas cavernae,Pseudomonas cavernae
HM753667.1,Escherichia phage phiX174,Escherichia phage phiX174
CP070249.1,Streptomyces californicus,Streptomyces californicus
CP099811.1,Yersinia ruckeri,Yersinia ruckeri
CP107573.1,Pantoea dispersa,Pantoea dispersa
OX240745.1,Danio rerio,Danio rerio (zebrafish)
LC597707.1,synthetic construct,synthetic construct
LC183522.1,Dioon califanoi,Dioon califanoi
XR_008229513.1,Lactuca sativa,Lactuca sativa
CP071784.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP000454.1,Arthrobacter sp. FB24,Arthrobacter sp. FB24
CP043652.1,Geodermatophilaceae bacterium NBWT11,Geodermatophilaceae bacterium NBWT11
HG994371.1,Brassica napus,Brassica napus (rape)
CP002810.1,Isoptericola variabilis 225,Isoptericola variabilis 225
CP034469.1,Pantoea agglomerans,Pantoea agglomerans
MN935386.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XR_002394031.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MN066697.1,Pediomelum argophyllum,mitochondrion Pediomelum argophyllum
LN598462.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP032459.1,Pseudomonas syringae,Pseudomonas syringae
CP024269.1,Escherichia coli,Escherichia coli
LN590884.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP007410.1,Pseudomonas brassicacearum,Pseudomonas brassicacearum
CP097463.1,Jatrophihabitans sp. SB3-54,Jatrophihabitans sp. SB3-54
XR_008226134.1,Lactuca sativa,Lactuca sativa
CP039895.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
XM_051734884.1,Alternaria postmessia,Alternaria postmessia
BK042951.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
MW583073.1,Vitis vinifera,Vitis vinifera (wine grape)
CP045103.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP002206.1,Pantoea vagans C9-1,Pantoea vagans C9-1
LN590687.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597767.1,synthetic construct,synthetic construct
XR_008193649.1,Gossypium raimondii,Gossypium raimondii
CP027562.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LC183543.1,Dioon sonorense,Dioon sonorense
CP040871.1,Thermomonas aquatica,Thermomonas aquatica
MW448463.1,Apios americana,mitochondrion Apios americana
LN591218.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP002032.1,Thermoanaerobacter mathranii subsp. mathranii str. A3,Thermoanaerobacter mathranii subsp. mathranii str. A3
CP040435.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
EF380016.1,Escherichia phage phiX174,Escherichia phage phiX174
CP052863.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP042275.2,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP080573.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
HQ349074.1,Pinus strobus,Pinus strobus (Eastern white pine)
CP061944.1,Pseudomonas sp. SK2,Pseudomonas sp. SK2
LT599583.1,Pseudomonas veronii 1YdBTEX2,Pseudomonas veronii 1YdBTEX2
CP080090.1,Pseudomonas sp. YeP6b,Pseudomonas sp. YeP6b
CP078509.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
CP026676.1,Pseudomonas sp. SWI6,Pseudomonas sp. SWI6
CP004084.1,Escherichia phage phiX174,Escherichia phage phiX174
CP077720.1,Pseudomonas viridiflava,Pseudomonas viridiflava
AP022227.1,Pseudomonas putida,Pseudomonas putida
LT629778.1,Pseudomonas granadensis,Pseudomonas granadensis
BK041012.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
MW182658.1,Fusarium brasilicum,mitochondrion Fusarium brasilicum
XR_001560980.1,Acropora digitifera,Acropora digitifera
CP053358.1,Klebsiella pneumoniae,Klebsiella pneumoniae
HM753703.1,Escherichia phage phiX174,Escherichia phage phiX174
CP048272.1,Bifidobacterium asteroides,Bifidobacterium asteroides
LN590689.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP062699.1,Pseudomonas taiwanensis,Pseudomonas taiwanensis
LN592461.1,Cyprinus carpio,Cyprinus carpio (common carp)
OP723647.1,Lagerstroemia indica,Lagerstroemia indica
LN591212.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182670.1,Fusarium meridionale,mitochondrion Fusarium meridionale
CP101466.1,Arthrobacter sp. DNA4,Arthrobacter sp. DNA4
LC183541.1,Dioon sonorense,Dioon sonorense
LN590692.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_018529392.1,Alternaria alternata,Alternaria alternata
CP026675.1,Pseudomonas sp. SWI36,Pseudomonas sp. SWI36
OU349844.1,Escherichia coli,Escherichia coli
MN935398.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
OW970315.1,Pantoea agglomerans,Pantoea agglomerans
LN598306.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597766.1,synthetic construct,synthetic construct
LR890399.1,Klebsiella pneumoniae,Klebsiella pneumoniae
CP046722.1,Pantoea agglomerans,Pantoea agglomerans
CP075569.1,Pseudomonas shirazica,Pseudomonas shirazica
CP032618.1,Pseudomonas fluorescens,Pseudomonas fluorescens
MG841967.1,Pinus nigra,Pinus nigra
BK037304.1,Caudovirales sp.,Caudovirales sp. (Human Metagenome)
LN598661.1,Cyprinus carpio,Cyprinus carpio (common carp)
BK037872.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
CP040437.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN598471.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP061091.1,Roseomonas marmotae,Roseomonas marmotae
BK040575.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
XM_043164287.1,Diaporthe citri,Diaporthe citri (Phomopsis citri)
MW583111.1,Vitis riparia,Vitis riparia (riverbank grape)
XR_002394003.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP002249.1,Agrobacterium fabacearum,Agrobacterium fabacearum
CP067024.1,Pseudomonas syringae pv. maculicola,Pseudomonas syringae pv. maculicola
LN596087.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG842040.1,Pinus nigra,Pinus nigra
LC597785.1,synthetic construct,synthetic construct
CP039911.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP011305.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP045551.1,Pseudomonas putida,Pseudomonas putida
MW583082.1,Vitis girdiana,Vitis girdiana
CP090418.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MW182664.1,Fusarium gerlachii,mitochondrion Fusarium gerlachii
LN592771.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP026925.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XM_009235117.2,Pongo abelii,Pongo abelii (Sumatran orangutan)
LR134324.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN591795.1,Cyprinus carpio,Cyprinus carpio (common carp)
KJ813725.1,Solanum lycopersicum,Solanum lycopersicum (Lycopersicon esculentum)
BK048605.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
XR_001560996.1,Acropora digitifera,Acropora digitifera
CP044546.1,Pseudomonas sp. CFA,Pseudomonas sp. CFA
CP061723.1,Pseudomonas putida,Pseudomonas putida
CP028033.1,Pantoea ananatis,Pantoea ananatis
LT629706.1,Pseudomonas poae,Pseudomonas poae
CP061848.1,Pseudomonas asiatica,Pseudomonas asiatica
AF299301.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590696.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP104288.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_051736176.1,Alternaria postmessia,Alternaria postmessia
CP047698.1,Pseudomonas knackmussii,Pseudomonas knackmussii
XM_038932779.1,Alternaria burnsii,Alternaria burnsii
XM_018532900.1,Alternaria alternata,Alternaria alternata
LN594146.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP046872.1,Pseudomonas putida,Pseudomonas putida
MG841989.1,Pinus nigra,Pinus nigra
OP723649.1,Lagerstroemia indica,Lagerstroemia indica
JQ440759.1,Pinus cembra,Pinus cembra
NC_063718.1,Fusarium austroamericanum,mitochondrion Fusarium austroamericanum
MN935393.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP045216.1,Pantoea dispersa,Pantoea dispersa
CP104011.1,Pseudomonas sp. GCEP-101,Pseudomonas sp. GCEP-101
MZ089853.1,Cotinus coggygria,mitochondrion Cotinus coggygria
LC597709.1,synthetic construct,synthetic construct
CP087111.1,Pseudomonas palleroniana,Pseudomonas palleroniana
LT629867.1,Leifsonia sp. 21MFCrub1.1,Leifsonia sp. 21MFCrub1.1
CP087165.1,Pseudomonas sichuanensis,Pseudomonas sichuanensis
OM397952.2,Rehmannia glutinosa,mitochondrion Rehmannia glutinosa
CP074412.1,Pseudomonas viridiflava,Pseudomonas viridiflava
XR_008229505.1,Lactuca sativa,Lactuca sativa
MG841930.1,Pinus nigra,Pinus nigra
KY538022.1,Cornus wilsoniana,Cornus wilsoniana
CP048552.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP026880.1,Pseudomonas sp. LH1G9,Pseudomonas sp. LH1G9
OX352322.1,Pseudomonas sp.,Pseudomonas sp.
HQ349079.1,Pinus strobus,Pinus strobus (Eastern white pine)
XR_002393999.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP011508.1,Pseudomonas mendocina,Pseudomonas mendocina
CP097252.1,Mesorhizobium opportunistum,Mesorhizobium opportunistum
LN591136.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP001936.1,Thermoanaerobacter italicus Ab9,Thermoanaerobacter italicus Ab9
CP023272.1,Pseudomonas lurida,Pseudomonas lurida
CP062789.1,Janibacter indicus,Janibacter indicus
LN592208.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG842110.1,Pinus nigra,Pinus nigra
CP059084.1,Pantoea ananatis,Pantoea ananatis
LC597714.1,synthetic construct,synthetic construct
EF691639.1,Trifolium repens,Trifolium repens (white clover)
CP021768.1,Stenotrophomonas sp. WZN-1,Stenotrophomonas sp. WZN-1
CP027732.1,Pseudomonas sp. R4-35-07,Pseudomonas sp. R4-35-07
CP102951.1,Pseudomonas sp. LS1212,Pseudomonas sp. LS1212
AM235530.1,Kunzea ericifolia subsp. ericifolia,Kunzea ericifolia subsp. ericifolia
LT700188.1,Negativicoccus massiliensis,Negativicoccus massiliensis
CP008838.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LK829830.1,Dicrocoelium dendriticum,Dicrocoelium dendriticum
CP038207.1,Pseudomonas sp. S150,Pseudomonas sp. S150
NC_063517.1,Stylosanthes macrocephala,mitochondrion Stylosanthes macrocephala
HE617160.1,Pantoea ananatis LMG 5342,Pantoea ananatis LMG 5342
CP040440.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_038933454.1,Alternaria burnsii,Alternaria burnsii
BK038116.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
XM_006425736.2,Citrus clementina,Citrus clementina
CP040460.1,Stutzerimonas degradans,Stutzerimonas degradans
CP048574.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LN590686.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT629704.1,Pseudomonas antarctica,Pseudomonas antarctica
CP025996.1,Stenotrophomonas sp. ZAC14D2_NAIMI4_6,Stenotrophomonas sp. ZAC14D2_NAIMI4_6
OP723653.1,Lagerstroemia indica,Lagerstroemia indica
CP109853.1,Pantoea dispersa,Pantoea dispersa
XM_021428957.1,Herrania umbratica,Herrania umbratica
LN590693.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_023593109.1,Cercospora beticola,Cercospora beticola
CP063233.1,Pseudomonas fluorescens,Pseudomonas fluorescens
LC597786.1,synthetic construct,synthetic construct
OV196026.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MG842106.1,Pinus nigra,Pinus nigra
CP083442.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP088241.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
DQ317017.1,Monsonia vanderietiae,Monsonia vanderietiae
LM527081.1,Strongyloides papillosus,Strongyloides papillosus
CP087205.1,Pseudomonas sp. B21-053,Pseudomonas sp. B21-053
CP081966.1,Pseudomonas mosselii,Pseudomonas mosselii
LT629788.1,Pseudomonas moraviensis,Pseudomonas moraviensis
LN590802.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_004454118.1,Brassica rapa,Brassica rapa (field mustard)
CP052858.1,Pseudomonas sp. ADAK20,Pseudomonas sp. ADAK20
LR784339.1,Phallusia mammillata,Phallusia mammillata
CP088243.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
NC_063724.1,Fusarium mesoamericanum,mitochondrion Fusarium mesoamericanum
XM_007716292.1,Bipolaris zeicola 26-R-13,Bipolaris zeicola 26-R-13
XR_008226141.1,Lactuca sativa,Lactuca sativa
LC597778.1,synthetic construct,synthetic construct
KT895870.1,Gossypium raimondii,Gossypium raimondii
MZ366769.1,Brasiliopuntia brasiliensis,Brasiliopuntia brasiliensis
XR_008226123.1,Lactuca sativa,Lactuca sativa
LN590772.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP079827.1,Pseudomonas sp. HD6515,Pseudomonas sp. HD6515
CP059738.1,Pseudomonas sp. 29A,Pseudomonas sp. 29A
XM_051737744.1,Alternaria postmessia,Alternaria postmessia
CP045720.1,Pantoea eucalypti,Pantoea eucalypti
LN591019.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP022202.1,Pseudomonas thivervalensis,Pseudomonas thivervalensis
XR_008229560.1,Lactuca sativa,Lactuca sativa
MK026449.1,Endoconidiophora resinifera,mitochondrion Endoconidiophora resinifera
LC183534.1,Dioon merolae,Dioon merolae
CP003738.1,Pseudomonas putida HB3267,Pseudomonas putida HB3267
LC597682.1,synthetic construct,synthetic construct
LN593384.1,Cyprinus carpio,Cyprinus carpio (common carp)
LS974621.2,Brassica rapa,Brassica rapa (field mustard)
XR_007214911.1,Ricinus communis,Ricinus communis (castor bean)
CP049824.1,Apiotrichum mycotoxinovorans,Apiotrichum mycotoxinovorans
CP086236.1,Pseudomonas frederiksbergensis,Pseudomonas frederiksbergensis
CP022032.1,Alternaria solani,Alternaria solani
GU476423.1,Eucalyptus coccifera,Eucalyptus coccifera
CP048565.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LT629749.1,Friedmanniella luteola,Friedmanniella luteola (Microlunatus luteolus)
LN591055.1,Cyprinus carpio,Cyprinus carpio (common carp)
OX352324.1,Pseudomonas sp. MM221,Pseudomonas sp. MM221
LR134334.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
LN590930.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597753.1,synthetic construct,synthetic construct
XR_002394013.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_047156259.1,Ictalurus punctatus,Ictalurus punctatus (channel catfish)
JN007486.1,Thermochaetoides thermophila DSM 1495,mitochondrion Thermochaetoides thermophila DSM 1495
MF417877.1,uncultured Caudovirales phage,uncultured Caudovirales phage
ON478167.1,Prunus kanzakura,mitochondrion Prunus kanzakura
LN595320.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597679.1,synthetic construct,synthetic construct
LC597695.1,synthetic construct,synthetic construct
XR_008229521.1,Lactuca sativa,Lactuca sativa
AP019634.1,Enterobacter sp. 18A13,Enterobacter sp. 18A13
CP078103.1,Stenotrophomonas geniculata,Stenotrophomonas geniculata
LS483377.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP003001.1,Caldicellulosiruptor acetigenus 6A,Caldicellulosiruptor acetigenus 6A
LR813085.1,Pseudomonas putida,Pseudomonas putida
CP041188.1,Pseudarthrobacter sp. NIBRBAC000502772,Pseudarthrobacter sp. NIBRBAC000502772
CP027745.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
GU476434.1,Kunzea graniticola,Kunzea graniticola
XR_008226124.1,Lactuca sativa,Lactuca sativa
MW182672.1,Fusarium mesoamericanum,mitochondrion Fusarium mesoamericanum
LN591091.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394035.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN590761.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182657.1,Fusarium boothii,mitochondrion Fusarium boothii
NC_044768.1,Prunus avium,mitochondrion Prunus avium (sweet cherry)
LN592699.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596339.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_031098885.1,Quercus lobata,Quercus lobata
XR_008229568.1,Lactuca sativa,Lactuca sativa
MW477480.1,Bacillus phage Whiting18,Bacillus phage Whiting18
HQ349073.1,Pinus strobus,Pinus strobus (Eastern white pine)
LN590709.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182654.1,Fusarium austroamericanum,mitochondrion Fusarium austroamericanum
CP045118.1,Pseudomonas sp. SCB32,Pseudomonas sp. SCB32
CP002447.1,Mesorhizobium ciceri biovar biserrulae WSM1271,Mesorhizobium ciceri biovar biserrulae WSM1271
MG372796.1,Pinus squamata,Pinus squamata
AP014716.1,Vigna radiata var. radiata,mitochondrion Vigna radiata var. radiata (mung bean)
LR721785.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XR_002394020.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
